Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2022-05-26,103000,-4.63,7.36,1.14,0.0117,1266.5999755859375,2612.45,2.68
2022-05-27,106000,2.91,7.58,1.17,0.0051,1258.8900146484375,2638.05,3.33
2022-05-31,108000,0.93,7.72,1.19,0.0055,1236.1700439453125,2685.9,-0.41
2022-06-02,107000,-0.93,7.65,1.18,0.0043,1246.949951171875,2658.99,2.69
2022-06-03,107000,0.0,7.65,1.18,0.0023,1240.8399658203125,2670.65,-2.47
2022-06-07,104000,-2.8,7.43,1.15,0.0044,1254.47998046875,2626.34,0.94
2022-06-08,106000,1.92,7.58,1.17,0.0042,1254.5799560546875,2626.15,-0.73
2022-06-09,105500,-0.47,7.54,1.17,0.0064,1256.739990234375,2625.44,-2.75
2022-06-10,103500,-1.9,7.40,1.14,0.0048,1264.02001953125,2595.87,-3.52
2022-06-13,99000,-4.35,7.08,1.1,0.0057,1278.280029296875,2504.51,-4.68
2022-06-14,99100,0.1,7.08,1.1,0.0045,1291.800048828125,2492.97,0.18
2022-06-15,97900,-1.21,7.00,1.08,0.0035,1289.47998046875,2447.38,2.5
2022-06-16,97400,-0.51,6.96,1.08,0.0052,1278.1600341796875,2451.41,-4.08
2022-06-17,96400,-1.03,6.89,1.07,0.0054,1288.1800537109375,2440.93,1.43
2022-06-21,95200,0.74,6.81,1.05,0.0037,1292.3800048828125,2408.93,2.51
2022-06-22,92200,-3.15,6.59,1.02,0.0048,1291.5999755859375,2342.81,-0.15
2022-06-23,90200,-2.17,6.45,1.0,0.0055,1297.6800537109375,2314.32,1.62
2022-06-24,91600,1.55,6.55,1.01,0.0042,1299.81005859375,2366.6,3.34
2022-06-27,95000,3.71,6.79,1.05,0.0047,1288.2900390625,2401.92,-0.72
2022-06-28,95300,0.32,6.81,1.05,0.0028,1286.199951171875,2422.09,-2.98
2022-06-29,94000,-1.36,6.72,1.04,0.0035,1292.030029296875,2377.99,-0.03
2022-06-30,91000,-3.19,6.51,1.01,0.0043,1301.72998046875,2332.64,-1.33
2022-07-01,87500,-3.85,6.25,0.97,0.0068,1287.7099609375,2305.42,0.9
2022-07-05,92500,3.82,6.61,1.02,0.0049,1295.6800537109375,2341.78,1.75
