Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2016-06-30,1425000,29000,2.08,126305,11.28,1016129,1.4,21000,1.47,0.0019,1152.1500244140625,1970.35,1.33
2016-07-01,1466000,41000,2.88,126305,11.61,1016129,1.44,21000,1.43,0.002,1151.25,1987.32,0.41
2016-07-05,1469000,3000,0.2,126305,11.63,1016129,1.45,21000,1.43,0.0011,1151.4000244140625,1989.85,-0.82
2016-07-06,1421000,-48000,-3.27,126305,11.25,1016129,1.4,21000,1.48,0.0023,1154.949951171875,1953.12,0.75
2016-07-07,1450000,29000,2.04,126305,11.48,1016129,1.43,21000,1.45,0.0016,1155.25,1974.08,0.36
2016-07-08,1460000,10000,0.69,126305,11.56,1016129,1.44,21000,1.44,0.0019,1155.6500244140625,1963.1,1.64
2016-07-11,1489000,29000,1.99,126305,11.79,1016129,1.47,21000,1.41,0.002,1147.7099609375,1988.54,0.64
2016-07-12,1464000,-25000,-1.68,126305,11.59,1016129,1.44,21000,1.43,0.0015,1148.0699462890625,1991.23,0.69
2016-07-13,1481000,17000,1.16,126305,11.73,1016129,1.46,21000,1.42,0.0014,1141.0,2005.55,-0.34
2016-07-14,1500000,19000,1.28,126305,11.88,1016129,1.48,21000,1.4,0.0017,1142.6500244140625,2008.77,0.57
2016-07-15,1518000,18000,1.2,126305,12.02,1016129,1.49,21000,1.38,0.0016,1129.25,2017.26,-0.09
2016-07-18,1533000,15000,0.99,126305,12.14,1016129,1.51,21000,1.37,0.0016,1136.5999755859375,2021.11,0.52
2016-07-19,1533000,0,0.0,126305,12.14,1016129,1.51,21000,1.37,0.0014,1133.050048828125,2016.89,-0.38
2016-07-20,1540000,7000,0.46,126305,12.19,1016129,1.52,21000,1.36,0.0011,1139.199951171875,2015.46,1.06
2016-07-21,1543000,3000,0.19,126305,12.22,1016129,1.52,21000,1.36,0.0012,1140.949951171875,2012.22,-0.31
2016-07-22,1516000,-27000,-1.75,126305,12.0,1016129,1.49,21000,1.39,0.0012,1136.050048828125,2010.34,0.52
2016-07-25,1502000,-14000,-0.92,126305,11.89,1016129,1.48,21000,1.4,0.0011,1134.0,2012.32,-0.05
2016-07-26,1530000,28000,1.86,126305,12.11,1016129,1.51,21000,1.37,0.001,1141.530029296875,2027.34,0.24
