Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2016-06-02,28050,-450,-1.58,6002,4.67,29377,0.95,500,1.78,0.0047,1190.1500244140625,1985.11,0.39
2016-06-03,27600,-450,-1.6,6002,4.60,29377,0.94,500,1.81,0.0051,1184.300048828125,1985.84,-0.58
2016-06-07,28650,1050,3.8,6002,4.77,29377,0.98,500,1.75,0.0061,1157.9000244140625,2011.63,-0.14
2016-06-08,28550,-100,-0.35,6002,4.76,29377,0.97,500,1.75,0.0054,1154.5,2027.08,0.26
2016-06-09,29000,450,1.58,6002,4.83,29377,0.99,500,1.72,0.0073,1150.25,2024.17,-0.32
2016-06-10,29000,0,0.0,6002,4.83,29377,0.99,500,1.72,0.0033,1156.199951171875,2017.63,-1.29
2016-06-13,28350,-650,-2.24,6002,4.72,29377,0.97,500,1.76,0.0036,1169.47998046875,1979.06,-0.94
2016-06-14,29050,700,2.47,6002,4.84,29377,0.99,500,1.72,0.0048,1170.1500244140625,1972.03,-0.1
2016-06-15,29950,900,3.1,6002,4.99,29377,1.02,500,1.67,0.0079,1173.3900146484375,1968.83,-0.18
2016-06-16,29650,-300,-1.0,6002,4.94,29377,1.01,500,1.69,0.0051,1166.699951171875,1951.99,0.21
2016-06-17,29000,-650,-2.19,6002,4.83,29377,0.99,500,1.72,0.004,1169.5799560546875,1953.4,-0.92
2016-06-20,30050,1050,3.62,6002,5.01,29377,1.02,500,1.66,0.0062,1168.56005859375,1981.12,0.77
2016-06-21,29800,-250,-0.83,6002,4.97,29377,1.01,500,1.68,0.0033,1159.3499755859375,1982.7,0.14
2016-06-22,30950,1150,3.86,6002,5.16,29377,1.05,500,1.62,0.007,1151.5999755859375,1992.58,-0.22
2016-06-23,31750,800,2.58,6002,5.29,29377,1.08,500,1.57,0.0098,1149.9000244140625,1986.71,1.59
2016-06-24,31800,50,0.16,6002,5.30,29377,1.08,500,1.57,0.0231,1141.260009765625,1925.24,-4.12
2016-06-27,32050,250,0.79,6002,5.34,29377,1.09,500,1.56,0.0084,1170.6099853515625,1926.85,-2.41
2016-06-28,31150,-900,-2.81,6002,5.19,29377,1.06,500,1.61,0.007,1177.6500244140625,1936.22,2.12
2016-06-29,31800,650,2.09,6002,5.30,29377,1.08,500,1.57,0.0052,1165.3800048828125,1956.36,1.86
2016-06-30,32400,600,1.89,6002,5.40,29377,1.1,500,1.54,0.0063,1152.1500244140625,1970.35,1.33
2016-07-01,32150,-250,-0.77,6002,5.36,29377,1.09,500,1.56,0.0073,1151.25,1987.32,0.41
2016-07-05,31850,-900,-2.75,6002,5.31,29377,1.08,500,1.57,0.0035,1151.4000244140625,1989.85,-0.82
2016-07-06,30600,-1250,-3.92,6002,5.10,29377,1.04,500,1.63,0.0087,1154.949951171875,1953.12,0.75
2016-07-07,30650,50,0.16,6002,5.11,29377,1.04,500,1.63,0.0037,1155.25,1974.08,0.36
2016-07-08,31050,400,1.31,6002,5.17,29377,1.06,500,1.61,0.0033,1155.6500244140625,1963.1,1.64
