Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2019-10-04,45900,-250,-0.54,3424,13.41,56293,0.82,500,1.09,0.0025,1200.0799560546875,2020.69,1.4
2019-10-07,43800,-2100,-4.58,3424,12.79,56293,0.78,500,1.14,0.0078,1191.3299560546875,2021.73,-0.33
2019-10-08,44800,1000,2.28,3424,13.08,56293,0.8,500,1.12,0.0038,1195.760009765625,2046.25,-1.67
2019-10-10,44000,-800,-1.79,3424,12.85,56293,0.78,500,1.14,0.0042,1196.780029296875,2028.15,0.6
2019-10-11,44500,500,1.14,3424,13.0,56293,0.79,500,1.12,0.0021,1188.81005859375,2044.61,1.34
2019-10-14,45500,1000,2.25,3424,13.29,56293,0.81,500,1.1,0.0031,1182.489990234375,2067.4,-0.1
2019-10-15,45100,-400,-0.88,3424,13.17,56293,0.8,500,1.11,0.0021,1182.300048828125,2068.17,1.24
2019-10-16,45350,250,0.55,3424,13.24,56293,0.81,500,1.1,0.002,1183.9300537109375,2082.83,-0.3
2019-10-17,44100,-1250,-2.76,3424,12.88,56293,0.78,500,1.13,0.0044,1184.8299560546875,2077.94,0.4
2019-10-18,44700,600,1.36,3424,13.05,56293,0.79,500,1.12,0.0039,1177.27001953125,2060.69,-0.83
2019-10-21,43850,-850,-1.9,3424,12.81,56293,0.78,500,1.14,0.0031,1178.0799560546875,2064.84,0.91
2019-10-22,44850,1000,2.28,3424,13.1,56293,0.8,500,1.11,0.0038,1171.4000244140625,2088.86,-0.72
2019-10-23,43200,-1650,-3.68,3424,12.62,56293,0.77,500,1.16,0.006,1171.260009765625,2080.62,0.19
2019-10-24,43500,300,0.69,3424,12.7,56293,0.77,500,1.15,0.0034,1169.699951171875,2085.66,0.81
2019-10-25,42850,-650,-1.49,3424,12.51,56293,0.76,500,1.17,0.0038,1174.25,2087.89,0.7
2019-10-28,42950,100,0.23,3424,12.54,56293,0.76,500,1.16,0.0032,1170.8199462890625,2093.6,1.01
2019-10-29,43600,650,1.51,3424,12.73,56293,0.77,500,1.15,0.0035,1166.760009765625,2092.69,-0.59
2019-10-30,43000,-600,-1.38,3424,12.56,56293,0.76,500,1.16,0.0035,1165.75,2080.27,0.33
2019-10-31,42950,-50,-0.12,3424,12.54,56293,0.76,500,1.16,0.0029,1163.699951171875,2083.48,-0.14
2019-11-01,42950,0,0.0,3424,12.54,56293,0.76,500,1.16,0.0021,1168.550048828125,2100.2,1.13
2019-11-04,44400,1450,3.38,3424,12.97,56293,0.79,500,1.13,0.0045,1163.800048828125,2130.24,0.56
2019-11-05,45350,950,2.14,3424,13.24,56293,0.81,500,1.1,0.0057,1161.81005859375,2142.64,0.02
2019-11-06,45050,-300,-0.66,3424,13.16,56293,0.8,500,1.11,0.0037,1155.199951171875,2144.15,-0.29
2019-11-07,45000,-50,-0.11,3424,13.14,56293,0.8,500,1.11,0.0021,1160.0799560546875,2144.29,0.28
2019-11-08,45300,300,0.67,3424,13.23,56293,0.8,500,1.1,0.0023,1158.5999755859375,2137.23,0.48
2019-11-11,44600,-700,-1.55,3424,13.03,56293,0.79,500,1.12,0.0018,1158.5999755859375,2124.09,-0.13
2019-11-12,44300,-300,-0.67,3424,12.94,56293,0.79,500,1.13,0.0026,1163.9000244140625,2140.92,0.26
2019-11-13,43400,-900,-2.03,3424,12.68,56293,0.77,500,1.15,0.0025,1164.949951171875,2122.45,-0.05
2019-11-14,43450,50,0.12,3424,12.69,56293,0.77,500,1.15,0.0026,1169.8599853515625,2139.23,-0.04
2019-11-15,44100,650,1.5,3424,12.88,56293,0.78,500,1.13,0.0024,1167.52001953125,2162.18,0.73
2019-11-18,44350,250,0.57,3424,12.95,56293,0.79,500,1.13,0.0034,1162.3299560546875,2160.69,0.11
2019-11-19,44400,50,0.11,3424,12.97,56293,0.79,500,1.13,0.0024,1165.68994140625,2153.24,0.24
2019-11-20,43300,-1100,-2.48,3424,12.65,56293,0.77,500,1.15,0.0033,1165.8199462890625,2125.32,-0.51
2019-11-21,42550,-750,-1.73,3424,12.43,56293,0.76,500,1.18,0.0032,1168.260009765625,2096.6,-0.24
2019-11-22,42550,0,0.0,3424,12.43,56293,0.76,500,1.18,0.002,1175.22998046875,2101.96,0.16
2019-11-25,43250,700,1.65,3424,12.63,56293,0.77,500,1.16,0.0024,1179.489990234375,2123.5,1.32
2019-11-26,42800,-450,-1.04,3424,12.5,56293,0.76,500,1.17,0.0042,1172.4100341796875,2121.35,0.18
2019-11-27,42700,-100,-0.23,3424,12.47,56293,0.76,500,1.17,0.0024,1172.5999755859375,2127.85,0.66
2019-11-29,40950,-800,-1.92,3424,11.96,56293,0.73,500,1.22,0.0041,1177.010009765625,2087.96,-0.46
2019-12-02,40800,-150,-0.37,3424,11.92,56293,0.72,500,1.23,0.0031,1181.469970703125,2091.92,-1.12
2019-12-03,41350,550,1.35,3424,12.08,56293,0.73,500,1.21,0.003,1183.7900390625,2084.07,-0.55
2019-12-04,40700,-650,-1.57,3424,11.89,56293,0.72,500,1.23,0.0035,1187.6300048828125,2068.89,0.54
2019-12-05,40250,-450,-1.11,3424,11.76,56293,0.72,500,1.24,0.0024,1189.4599609375,2060.74,0.05
2019-12-06,40700,450,1.12,3424,11.89,56293,0.72,500,1.23,0.0025,1187.97998046875,2081.85,1.0
2019-12-09,40750,50,0.12,3424,11.9,56293,0.72,500,1.23,0.0016,1186.1099853515625,2088.65,-0.4
2019-12-10,42000,1250,3.07,3424,12.27,56293,0.75,500,1.19,0.0037,1188.6800537109375,2098.0,-0.07
2019-12-11,42250,250,0.6,3424,12.34,56293,0.75,500,1.18,0.0031,1189.0699462890625,2105.62,0.44
2019-12-12,43550,1300,3.08,3424,12.72,56293,0.77,500,1.15,0.0073,1187.9300537109375,2137.35,0.73
2019-12-13,43900,350,0.8,3424,12.82,56293,0.78,500,1.14,0.0033,1169.5899658203125,2170.25,0.2
2019-12-16,43150,-750,-1.71,3424,12.6,56293,0.77,500,1.16,0.0039,1172.530029296875,2168.15,0.91
2019-12-17,42450,-700,-1.62,3424,12.4,56293,0.75,500,1.18,0.0051,1167.4599609375,2195.68,0.1
2019-12-18,42300,-150,-0.35,3424,12.35,56293,0.75,500,1.18,0.0036,1162.780029296875,2194.76,0.05
2019-12-19,42550,250,0.59,3424,12.43,56293,0.76,500,1.18,0.0021,1164.3599853515625,2196.56,0.67
2019-12-20,42700,150,0.35,3424,12.47,56293,0.76,500,1.17,0.0029,1161.06005859375,2204.18,0.42
2019-12-23,42550,-150,-0.35,3424,12.43,56293,0.76,500,1.18,0.0025,1159.300048828125,2203.71,0.23
2019-12-24,42450,-100,-0.24,3424,12.4,56293,0.75,500,1.18,0.0024,1161.5699462890625,2190.08,0.08
2019-12-26,42650,200,0.47,3424,12.46,56293,0.76,500,1.17,0.003,1159.75,2197.93,0.78
2019-12-27,42450,-200,-0.47,3424,12.4,56293,0.75,500,1.18,0.0034,1161.199951171875,2204.21,-0.17
