Date,Close,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2018/05/08,63100,-2800,-4.25,1810,34.86,-,-,58029,1.09,500,0.79
2018/05/09,62400,-700,-1.11,1810,34.48,-,-,58029,1.08,500,0.80
2018/05/10,63300,900,+1.44,1810,34.97,-,-,58029,1.09,500,0.79
2018/05/11,64400,1100,+1.74,1810,35.58,-,-,58029,1.11,500,0.78
2018/05/14,73300,8900,+13.82,1810,40.50,-,-,58029,1.26,500,0.68
2018/05/15,74000,700,+0.95,1810,40.88,-,-,58029,1.28,500,0.68
2018/05/16,69300,-4700,-6.35,1810,38.29,-,-,58029,1.19,500,0.72
2018/05/17,69000,-300,-0.43,1810,38.12,-,-,58029,1.19,500,0.72
2018/05/18,70000,1000,+1.45,1810,38.67,-,-,58029,1.21,500,0.71
2018/05/21,69900,-100,-0.14,1810,38.62,-,-,58029,1.20,500,0.72
2018/05/23,68900,-1000,-1.43,1810,38.07,-,-,58029,1.19,500,0.73
2018/05/24,67500,-1400,-2.03,1810,37.29,-,-,58029,1.16,500,0.74
2018/05/25,60900,-6600,-9.78,1810,33.65,-,-,58029,1.05,500,0.82
2018/05/28,79100,18200,+29.89,1810,43.70,-,-,58029,1.36,500,0.63
2018/05/29,74800,-4300,-5.44,1810,41.33,-,-,58029,1.29,500,0.67
2018/05/30,74600,-200,-0.27,1810,41.22,-,-,58029,1.29,500,0.67
2018/05/31,73800,-800,-1.07,1810,40.77,-,-,58029,1.27,500,0.68
2018/06/01,70100,-3700,-5.01,1810,38.73,-,-,58029,1.21,500,0.71
2018/06/04,67900,-2200,-3.14,1810,37.51,-,-,58029,1.17,500,0.74
2018/06/05,71200,3300,+4.86,1810,39.34,-,-,58029,1.23,500,0.70
2018/06/07,69100,-2100,-2.95,1810,38.18,-,-,58029,1.19,500,0.72
2018/06/08,67200,-1900,-2.75,1810,37.13,-,-,58029,1.16,500,0.74
2018/06/11,72300,5100,+7.59,1810,39.94,-,-,58029,1.25,500,0.69
2018/06/12,69600,-2700,-3.73,1810,38.45,-,-,58029,1.20,500,0.72
2018/06/14,63600,-6000,-8.62,1810,35.14,-,-,58029,1.10,500,0.79
2018/06/15,63800,200,+0.31,1810,35.25,-,-,58029,1.10,500,0.78
2018/06/18,62100,-1700,-2.66,1810,34.31,-,-,58029,1.07,500,0.81
2018/06/19,59300,-2800,-4.51,1810,32.76,-,-,58029,1.02,500,0.84
2018/06/20,60900,1600,+2.70,1810,33.65,-,-,58029,1.05,500,0.82
2018/06/21,60800,-100,-0.16,1810,33.59,-,-,58029,1.05,500,0.82
2018/06/22,61300,500,+0.82,1810,33.87,-,-,58029,1.06,500,0.82
2018/06/25,63000,1700,+2.77,1810,34.81,-,-,58029,1.09,500,0.79
2018/06/26,60400,-2600,-4.13,1810,33.37,-,-,58029,1.04,500,0.83
2018/06/27,57100,-3300,-5.46,1810,31.55,-,-,58029,0.98,500,0.88
2018/06/28,54700,-2400,-4.20,1810,30.22,-,-,58029,0.94,500,0.91
2018/06/29,57500,2800,+5.12,1810,31.77,-,-,58029,0.99,500,0.87
2018/07/02,54000,-3500,-6.09,1810,29.83,-,-,58029,0.93,500,0.93
2018/07/03,55600,1600,+2.96,1810,30.72,-,-,58029,0.96,500,0.90
2018/07/04,55300,-300,-0.54,1810,30.55,-,-,58029,0.95,500,0.90
2018/07/05,53100,-2200,-3.98,1810,29.34,-,-,58029,0.92,500,0.94
2018/07/06,55600,2500,+4.71,1810,30.72,-,-,58029,0.96,500,0.90
2018/07/09,51100,-4500,-8.09,1810,28.23,-,-,58029,0.88,500,0.98
2018/07/10,52100,1000,+1.96,1810,28.78,-,-,58029,0.90,500,0.96
2018/07/11,54300,2200,+4.22,1810,30.00,-,-,58029,0.94,500,0.92
2018/07/12,53300,-1000,-1.84,1810,29.45,-,-,58029,0.92,500,0.94
2018/07/13,54700,1400,+2.63,1810,30.22,-,-,58029,0.94,500,0.91
2018/07/16,54400,-300,-0.55,1810,30.06,-,-,58029,0.94,500,0.92
2018/07/17,53800,-600,-1.10,1810,29.72,-,-,58029,0.93,500,0.93
2018/07/18,51700,-2100,-3.90,1810,28.56,-,-,58029,0.89,500,0.97
2018/07/19,51400,-300,-0.58,1810,28.40,-,-,58029,0.89,500,0.97
2018/07/20,52000,600,+1.17,1810,28.73,-,-,58029,0.90,500,0.96
2018/07/23,50000,-2000,-3.85,1810,27.62,-,-,58029,0.86,500,1.00
2018/07/24,53900,3900,+7.80,1810,29.78,-,-,58029,0.93,500,0.93
2018/07/25,55200,1300,+2.41,1810,30.50,-,-,58029,0.95,500,0.91
2018/07/26,56400,1200,+2.17,1810,31.16,-,-,58029,0.97,500,0.89
