Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2016/01/18,26700,-100,-0.37,24775,1.08,300,1.12
2016/01/19,28300,1600,5.99,24775,1.14,300,1.06
2016/01/20,26800,-1500,-5.3,24775,1.08,300,1.12
2016/01/21,26600,-200,-0.75,24775,1.07,300,1.13
2016/01/22,27150,550,2.07,24775,1.1,300,1.1
2016/01/25,28000,850,3.13,24775,1.13,300,1.07
2016/01/26,27850,-150,-0.54,24775,1.12,300,1.08
2016/01/27,27650,-200,-0.72,24775,1.12,300,1.08
2016/01/28,27650,0,0.0,24775,1.12,300,1.08
2016/01/29,27300,-350,-1.27,24775,1.1,300,1.1
2016/02/01,28400,1100,4.03,24775,1.15,300,1.06
2016/02/02,28450,50,0.18,24775,1.15,300,1.05
2016/02/03,27450,-1000,-3.51,24775,1.11,300,1.09
2016/02/04,28100,650,2.37,24775,1.13,300,1.07
2016/02/05,28100,0,0.0,24775,1.13,300,1.07
2016/02/11,27150,-950,-3.38,24775,1.1,300,1.1
2016/02/12,27350,200,0.74,24775,1.1,300,1.1
2016/02/15,27700,350,1.28,24775,1.12,300,1.08
2016/02/16,28900,1200,4.33,24775,1.17,300,1.04
2016/02/17,30050,1150,3.98,24775,1.21,300,1.0
2016/02/18,30200,150,0.5,24775,1.22,300,0.99
2016/02/19,29600,-600,-1.99,24775,1.19,300,1.01
2016/02/22,29900,300,1.01,24775,1.21,300,1.0
2016/02/23,30400,500,1.67,24775,1.23,300,0.99
2016/02/24,30900,500,1.64,24775,1.25,300,0.97
2016/02/25,30800,-100,-0.32,24775,1.24,300,0.97
2016/02/26,30800,0,0.0,24775,1.24,300,0.97
2016/02/29,30000,-800,-2.6,24775,1.21,300,1.0
2016/03/02,30950,950,3.17,24775,1.25,300,0.97
2016/03/03,31950,1000,3.23,24775,1.29,300,0.94
2016/03/04,31900,-50,-0.16,24775,1.29,300,0.94
2016/03/07,31900,0,0.0,24775,1.29,300,0.94
2016/03/08,30500,-1400,-4.39,24775,1.23,300,0.98
2016/03/09,30550,50,0.16,24775,1.23,300,0.98
2016/03/10,30300,-250,-0.82,24775,1.22,300,0.99
2016/03/11,30700,400,1.32,24775,1.24,300,0.98
2016/03/14,30350,-350,-1.14,24775,1.23,300,0.99
2016/03/15,29900,-450,-1.48,24775,1.21,300,1.0
2016/03/16,29200,-700,-2.34,24775,1.18,300,1.03
2016/03/17,29250,50,0.17,24775,1.18,300,1.03
2016/03/18,29450,200,0.68,24775,1.19,300,1.02
2016/03/21,29550,100,0.34,24775,1.19,300,1.02
2016/03/22,30200,650,2.2,24775,1.22,300,0.99
2016/03/23,30250,50,0.17,24775,1.22,300,0.99
2016/03/24,29450,-800,-2.64,24775,1.19,300,1.02
2016/03/25,29150,-300,-1.02,24775,1.18,300,1.03
2016/03/28,28550,-600,-2.06,24775,1.15,300,1.05
2016/03/29,28900,350,1.23,24775,1.17,300,1.04
2016/03/30,28650,-250,-0.87,24775,1.16,300,1.05
2016/03/31,28150,-500,-1.75,24775,1.14,300,1.07
2016/04/01,28200,50,0.18,24775,1.14,300,1.06
2016/04/04,27900,-300,-1.06,24775,1.13,300,1.08
2016/04/05,27850,-50,-0.18,24775,1.12,300,1.08
2016/04/06,27500,-350,-1.26,24775,1.11,300,1.09
2016/04/07,26900,-600,-2.18,24775,1.09,300,1.12
2016/04/08,27800,900,3.35,24775,1.12,300,1.08
2016/04/11,27150,-650,-2.34,24775,1.1,300,1.1
2016/04/12,27150,0,0.0,24775,1.1,300,1.1
2016/04/14,27250,100,0.37,24775,1.1,300,1.1
2016/04/15,27650,400,1.47,24775,1.12,300,1.08
2016/04/18,27200,-450,-1.63,24775,1.1,300,1.1
2016/04/19,27450,250,0.92,24775,1.11,300,1.09
2016/04/20,27550,100,0.36,24775,1.11,300,1.09
2016/04/21,27550,0,0.0,24775,1.11,300,1.09
2016/04/22,27500,-50,-0.18,24775,1.11,300,1.09
2016/04/25,27500,0,0.0,24775,1.11,300,1.09
2016/04/26,29150,1650,6.0,24775,1.18,300,1.03
2016/04/27,29150,0,0.0,24775,1.18,300,1.03
2016/04/28,27900,-1250,-4.29,24775,1.13,300,1.08
2016/04/29,28150,250,0.9,24775,1.14,300,1.07
2016/05/02,27850,-300,-1.07,29377,0.95,500,1.8
2016/05/03,27650,-200,-0.72,29377,0.94,500,1.81
2016/05/04,26650,-1000,-3.62,29377,0.91,500,1.88
2016/05/09,25750,-900,-3.38,29377,0.88,500,1.94
